25 Toa Payoh Lorong 8,1.33904,103.85759,2.6,,2.6,,2.6,
45 Burghley Drive,1.35836,103.86255,1.08,,1.08,,1.08,
Ang Mo Kio Hub,1.369017,103.848122,1.2,,1.3,,1.3,
Balestier Plaza,1.32607,103.84885,1.12,,1.12,,1.12,
Balestier Point,1.3258,103.84917,,0800-2200: 1.2; 2201-0759: 2,,0800-2200: 1.2; 2201-0759: 2,2,
Bras Basah Complex,1.29741,103.8536,,0700-1700: 2; 1701-0100: 1,,0700-1700: 2; 1701-0100: 1,,0700-0100: 1
Causeway Point,1.4381,103.785492,,0700-2230: 1.20; ,,0700-0000: 1.2,,0700-0000: 1.2
Central Place,1.377,103.88082,1.8,,1.8,,2.5,
City Square Mall,1.31054,103.856552,,0700-1800: 1.2; 1801-0330: 3,,0700-1800: 1.4; 1801-0330: 3.5 ,,0700-1800: 1.4; 1801-0330: 3.5 
Compass Point,1.39064,103.89498,,0700-2300: 1.2,,0700-2300: 1.2,,0700-2300: 1.2
Goldhill Plaza,1.31835,103.8431,,0700-1730: 1.6; 1731-0000: 2,,0700-1730: 1; 1730-0659: 2,,0700-1730: 1; 1730-0659: 2
Heartland Mall,1.35873,103.885872,,0700-2230: 1; 2230-0659: 2,,Same as wkdays,,Same as wkdays
Hindoo Road Off-Street,1.28944,103.84998,,0700-0659: 1,,0700-0659: 1,,0700-0659: 1
Hougang Green Shopping Mall,1.37902,103.88823,,0700-1700: 1.07; 1701-0659: 1.2,,0700-1700: 1.07; 1701-0659: 1.2,,0700-0000: 2.15; 0001-0659: 1.2
Hougang Mall,1.37306,103.8918,1.2,,1.3,,1.3,
Hougang Plaza,1.366,103.89069,,0500-1700: 0.4; 1701-0459: 1.5,,0500-1700: 0.4; 1701-0459: 1.5,1.5,$1.50 per entry
Junction 8 Shopping Centre,1.35122,103.849762,,0000-1759: $1.07; 1800-2359: 2.14,,0300-1759: 2.14; 1800-0259: 2.14,,0300-1759: 2.14; 1700-2359: 2.14 
Kampong Bugis Off-Street,1.28944,103.84998,1,,1,,1,
Kampong Kapor Road Off-Street,1.28944,103.84998,1,,1,,1,
Mustafa Centre,1.31031,103.85591,F,,F,,F,
Nex Mall,1.35156,103.874001,1.3,,1.4,,1.4,
Northpoint Shopping Centre,1.42574,103.83508,1.2,,1.2,,1.2,
Parliament House,1.28819,103.85113,,0801-1800: 1.13; 1801-0800: 2.06,,0801-1800: 1.13; 1801-0800: 2.06,2.06,
Ramada Hotel,1.3277,103.846771,,0600-1800: 1.6; 1801-0559: 2.2,,0600-1800: 1.6; 1801-0559: 2.2,,0600-1800: 1.6; 1801-0559: 2.2
Rivervale Mall,1.39051,103.907211,1.28,,1.28,,1.28,
Sembawang Shopping Centre,1.45048,103.829369,1.2,,1.2,,1.2,
Shaw Plaza,1.32607,103.848846,,0800-1700: 1.04; 1701-0759: 1.55,,0800-1700: 1.04; 1701-0759: 1.55,,0800-1700: 1.04; 1701-0759: 1.55
Shrewsbury Road Off-Street,1.28944,103.84998,1,,1,,1,
Square 2,1.31988,103.8456,,0700-1800: 1.6; 1801-0659: 2.2,,0700-1800: 1.6; 1801-0659: 2.2,,0000-1800: 2.2; 1801-2359: 2.2
Sun Plaza,1.45299,103.81775,,0700-1700: 1.2; 1700-2300: 2.2; 2301-0659: 3.3,,0700-1700: 1.2; 1700-2300: 2.2; 2301-0659: 3.3,,0700-1700: 1.2; 1700-2300: 2.2; 2301-0659: 3.3
The Verge,1.30779,103.85265,,0700-1700: 1.6; 1700-0000: 2.5; 0001-0659: 1.3,,0700-1700: 1.6; 1700-0000: 2.5; 0001-0659: 1.3,,0700-0000: 2.5; 0001-0659: 2 
Thomson Plaza,1.35517,103.831734,,0700-0000: 1 ,,0700-0000: 1.2,,0700-0000: 1.2
Toa Payoh HDB Hub,1.33752,103.85175,,0700-1800: 1; 1801-2230: 1; 2231-0659: 2 ,,0700-1800: 1; 1801-2230: 1; 2231-0659: 2 ,,0700-2230: 1; 2231-0659: 2
United Square Shopping Mall,1.32702,103.84098,,0700-1800: 2.2; 1801-0659: 2,,0700-1800: 2.2; 1801-0659: 2,,0700-1800: 2.2; 1801-0659: 2
Velocity @ Novena Square,1.319826,103.844002,,0600-1800: 1.6;1801-0559: 2.2,,0600-1800: 1.6;1801-0559: 2.2,,0600-1800: 1.6;1801-0559: 2.2
Yishun YS-ONE,1.4388,103.84229,1,,1,,,0700-2230: F; 2231-0659:1
112 Katong,1.30367,103.90346,,0600-0959: 0.54; 1000-1759: 1.07; 1800-2059: 2.56;  2100-0559: 0.54,,0600-0959: 0.54; 1000-2059: 2.56; 2100-0559: 0.54,,0600-0959: 0.54; 1000-2059: 2.56; 2100-0559: 0.54
Bedok Mall,1.32466,103.93238,1.5,,1.5,,1.5,
Bedok Point,1.32466,103.93238,1.2,,,1.2,,1.2
Century Square,1.35248,103.94461,,0301-1800: 1.07; 1801-0300: 2.14,,0301-1800:1.28; 1801-0300: 2.14,,0301-1800:1.28; 1801-0300: 2.14
Changi Airport - South Car Park (between T2 and JetQuay),1.355322,103.988335,2.1,,2.1,,2.1,Same as Saturday
"Changi Airport - T1, T2, T3",1.355,103.988297,2.4,,2.4,,2.4,
Changi City Point,1.33619,103.963608,,0701-1800: 0.7; 1801-700: 2.5 ,,0701-1700: 2.5; 1701-700: 2.5,,0701-1700: 2.5; 1701-700: 2.5
Changi Village Hotel,1.39134,103.98155,,0800-1800: 2; 1801-0759: 5.35 ,,0800-1800: 2; 1801-0759: 5.35 ,,0800-1800: 2; 1801-0759: 5.35 
City Plaza,1.31561,103.89475,,0800-1700: 1.1;1700-0000: 1.2; 0001-0759: 2.4,,0800-1700: 1.1;1700-0000: 1.2; 0001-0759: 2.4,,0700-0000: 1.2; 0001-0659: 2.4
D'Resort,1.37669,103.9564,1.44,,,0001-1659: 1.44; 1700-0000: 5 ,,0001-1659: 1.44; 1700-0000: 5 
Downtown East,1.37669,103.956398,,"Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $12.50 (Valid up to 12 midnight and not applicable for multiple entries).; Mon-Thu (excluding PH, Eve of PH & School Holiday) 5pm-12am: $2.40 per entry. Max/day:$12.50; Fri: $3.40 per entry.",,"Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $3.40 per entry. Max/day: $16.",,Same as Saturday
East Coast Park E1/E2/E3 Off-Street,1.28944,103.84998,1,,1,,1,
Eastpoint Mall,1.34269,103.95255,1.2,,1.2,,1.2,
Grand Mecure Roxy Hotel,1.30339,103.90679,1.6,,1.6,,1.6,
IKEA (Tampines),1.37264,103.93384,,0700-2300: F,,0700-2300: F,,0700-2300: F
Katong Shopping Centre,1.30461,103.90093,,0700-1800: 1; 1801-0659: 2 ,,0700-1800: 1; 1801-0659: 2 ,2,
Katong Village,1.30367,103.903458,,0800-1800: 2.2; 1801-0759: 6,,0800-1800: 2.2; 1801-0759: 6,,0800-1800: 2.2; 1801-0759: 6
Lifelong Learning Institute,1.31909,103.89322,,0600-1759: 1.8; 1800-2359: 3.21; 0000-0559: 12,,0600-1759: 1.8; 1800-2359: 3.21; 0000-0559: 12,,0600-2359: 3.21; 0000-0559: 12 
Paramount Hotel,1.30306,103.90321,,0800-1700: 1.8; 1701-0759: 2.5,,0800-1700: 1.8; 1701-0759: 2.5,2.5,
Parkway Parade,1.30128,103.904877,,0600-1800: 1; 1800-0159: 1.5; 0200-0559: $20,,0600-1000: 0.5; 1001-1800: 1.3; 1800-0159: 2.1;  0200-0559: $20,,0600-1000: 0.5; 1001-1800: 1.3; 1800-0159: 2.1;  0200-0559: $20
Roxy Square,1.30339,103.906792,,0700-1800: 1.2; 1700-0000: 2.5,,0700-1800: 1.2; 1700-0000: 2.5,,0700-1800: 1.2; 1700-0000: 2.5
Singapore Expo,1.33648,103.960632,3.2,,3.2,,3.2,
