FALSE,25 Toa Payoh Lorong 8,1.33904,103.85759,Daily: $1.30 / 30 Mins,-,-,-,2.6,,2.6,,2.6,,END
FALSE,45 Burghley Drive,1.35836,103.86255,$0.018 /min,$0.018 /min,$0.018 /min,$0.018 /min,1.08,,1.08,,1.08,,END
FALSE,Ang Mo Kio Hub,1.369017,103.848122,Mon-Fri: $1.20 for 1st hr; $0.60 for sub. ½ hr or part thereof.,-,Sat. Sun / Ph: $1.30 for 1st hr; $0.65 for sub. ½ hr or part thereof.,Same as Saturday,1.2,,1.3,,1.3,,END
FALSE,Balestier Plaza,1.32607,103.84885,Daily: $1.12 per hr,-,-,-,1.12,,1.12,,1.12,,END
FALSE,Balestier Point,1.3258,103.84917,8am-10pm: $1.20 per hr,Aft 10pm: $2 per entry,Same as wkdays,$2 per entry,,0800-2200: 1.2; 2201-0759: 2,,0800-2200: 1.2; 2201-0759: 2,2,,END
FALSE,Bras Basah Complex,1.29741,103.8536,7am-5pm: $1 for ½ hr,5pm-1am: $0.50 for ½ hr,Same as wkdays,7am-1am: $0.50 for ½ hr,,0700-1700: 2; 1701-0100: 1,,0700-1700: 2; 1701-0100: 1,,0700-0100: 1,END
FALSE,Causeway Point,1.4381,103.785492,7am-10.30pm: $1.20 for 1st hr or part thereof; $0.60 for sub.½ hr or part thereof.,7am-10.30pm: $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,7am-12 midnight: $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,Same as Saturday,,0700-2230: 1.20; ,,0700-0000: 1.2,,0700-0000: 1.2,END
FALSE,Central Place,1.377,103.88082,$1.80 for 1st hr; $0.85 for ½ hr,$1.80 for 1st hr; $0.85 for ½ hr,$1.80 for 1st hr; $0.85 for ½ hr,$2.50 per entry,1.8,,1.8,,2.5,,END
FALSE,City Square Mall,1.31054,103.856552,7am-6pm: $1.20 for 1st hr; $0.60 for sub. 30 mins or part thereof.,6pm-3.30am: $3 per entry.,7am-6pm: $1.40 for 1st hr; $0.70 for sub. 30 mins; 6pm-3.30am: $3.50 per entry.,Same as Saturday,,0700-1800: 1.2; 1801-0330: 3,,0700-1800: 1.4; 1801-0330: 3.5 ,,0700-1800: 1.4; 1801-0330: 3.5 ,END
FALSE,Compass Point,1.39064,103.89498,Daily(7am-11pm): $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,-,-,-,,0700-2300: 1.2,,0700-2300: 1.2,,0700-2300: 1.2,END
FALSE,Goldhill Plaza,1.31835,103.8431,7am-5.30pm: $1.60 for 1st hr; $1 for sub. ½ hr,5.30pm-12am: $2 per entry,7am-5.30pm: $1 per hr; Aft 5.30pm: $2 per entry,Same as Saturday,,0700-1730: 1.6; 1731-0000: 2,,0700-1730: 1; 1730-0659: 2,,0700-1730: 1; 1730-0659: 2,END
FALSE,Heartland Mall,1.35873,103.885872,7am-10.30pm: $1 per hr,Aft 10.30pm: $2 per hr,Same as wkdays,Same as wkdays,,0700-2230: 1; 2230-0659: 2,,Same as wkdays,,Same as wkdays,END
FALSE,Hindoo Road Off-Street,1.28944,103.84998,Daily: 0700-0700: $0.50 / 30 mins (Per Minute Charging),-,-,-,,0700-0659: 1,,0700-0659: 1,,0700-0659: 1,END
FALSE,Hougang Green Shopping Mall,1.37902,103.88823,7am-5pm: $1.07 for 1st hr; $0.55 for sub. ½ hr,Aft 5pm: $1.20 per entry,Same as wkdays,7am-12am: $2.15 per entry; Aft 12am: $1.20 per entry,,0700-1700: 1.07; 1701-0659: 1.2,,0700-1700: 1.07; 1701-0659: 1.2,,0700-0000: 2.15; 0001-0659: 1.2,END
